num_recreated_workers,episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,timers/training_iteration_time_ms,timers/grad_wait_time_ms,timers/apply_grad_time_ms,timers/apply_grad_throughput,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths,info/learner/agent_0/learner_stats/cur_lr,info/learner/agent_0/learner_stats/entropy_coeff,info/learner/agent_0/learner_stats/policy_loss,info/learner/agent_0/learner_stats/policy_entropy,info/learner/agent_0/learner_stats/var_gnorm,info/learner/agent_0/learner_stats/vf_loss,info/learner/agent_0/learner_stats/grad_gnorm,info/learner/agent_0/learner_stats/vf_explained_var,info/learner/agent_1/learner_stats/cur_lr,info/learner/agent_1/learner_stats/entropy_coeff,info/learner/agent_1/learner_stats/policy_loss,info/learner/agent_1/learner_stats/policy_entropy,info/learner/agent_1/learner_stats/var_gnorm,info/learner/agent_1/learner_stats/vf_loss,info/learner/agent_1/learner_stats/grad_gnorm,info/learner/agent_1/learner_stats/vf_explained_var
0,nan,nan,nan,nan,0,0,4,7400,7400,3700,3700,3700,3700,3700,3700,7400,False,0,1,5f3af_00000,cdf0d5de3a16430ab9248c3b4808aa99,2022-12-17_10-13-40,1671272020,5.1197829246521,5.1197829246521,35165,1ec1cd5bf031,172.17.0.2,5.1197829246521,0,1,34.43453001976013,3700,3700,7400,7400,nan,nan,nan,nan,0,0,[],[],3.361,0.308,11.031,18131.219,16.261,3700,3700,7400,7400,40.6,8.087499999999999,[],[],9.999999747378752e-05,0.009999999776482582,59.08044,190.7649,53.005585,7.108603,40.0,-1.0,9.999999747378752e-05,0.009999999776482582,59.08044,190.7649,53.005585,7.108603,40.0,-1.0
0,11.530952380952382,0.0,5.765476190476191,1349.0,2,0,4,13600,13600,6800,6800,3100,3100,6800,3100,13600,False,2,2,5f3af_00000,cdf0d5de3a16430ab9248c3b4808aa99,2022-12-17_10-13-45,1671272025,5.576280355453491,10.69606328010559,35165,1ec1cd5bf031,172.17.0.2,10.69606328010559,0,2,34.43453001976013,6800,6800,13600,13600,11.530952380952382,0.0,5.765476190476191,1349.0,2,0,"[0.0, 11.530952380952382]","[1099, 1599]",0.146,0.136,10.162,19680.296,15.306,6800,6800,13600,13600,49.5125,8.2,"[0.0, 11.530952380952382]","[1099, 1599]",,,,,,,,,,,,,,,,
0,18.012694029311962,0.0,9.847882136754782,1665.6666666666667,1,0,4,20000,20000,10000,10000,3200,3200,10000,3200,20000,False,3,3,5f3af_00000,cdf0d5de3a16430ab9248c3b4808aa99,2022-12-17_10-13-51,1671272031,5.329560279846191,16.025623559951782,35165,1ec1cd5bf031,172.17.0.2,16.025623559951782,0,3,34.43453001976013,10000,10000,20000,20000,18.012694029311962,0.0,9.847882136754782,1665.6666666666667,1,0,"[0.0, 11.530952380952382, 18.012694029311962]","[1099, 1599, 2299]",0.158,0.146,10.012,19975.54,14.361,10000,10000,20000,20000,49.22857142857142,8.200000000000001,"[0.0, 11.530952380952382, 18.012694029311962]","[1099, 1599, 2299]",,,,,,,,,,,,,,,,
0,18.012694029311962,0.0,9.740691014330793,1749.0,1,0,4,26400,26400,13200,13200,3200,3200,13200,3200,26400,False,4,4,5f3af_00000,cdf0d5de3a16430ab9248c3b4808aa99,2022-12-17_10-13-56,1671272036,5.471304416656494,21.496927976608276,35165,1ec1cd5bf031,172.17.0.2,21.496927976608276,0,4,34.43453001976013,13200,13200,26400,26400,18.012694029311962,0.0,9.740691014330793,1749.0,1,0,"[0.0, 11.530952380952382, 18.012694029311962, 9.419117647058822]","[1099, 1599, 2299, 1999]",0.169,0.156,9.952,20096.132,14.529,13200,13200,26400,26400,49.28750000000001,8.2,"[0.0, 11.530952380952382, 18.012694029311962, 9.419117647058822]","[1099, 1599, 2299, 1999]",,,,,,,,,,,,,,,,
0,18.012694029311962,0.0,7.870338999223766,1699.0,3,0,4,32800,32800,16400,16400,3200,3200,16400,3200,32800,False,7,5,5f3af_00000,cdf0d5de3a16430ab9248c3b4808aa99,2022-12-17_10-14-02,1671272042,5.624418497085571,27.121346473693848,35165,1ec1cd5bf031,172.17.0.2,27.121346473693848,0,5,34.43453001976013,16400,16400,32800,32800,18.012694029311962,0.0,7.870338999223766,1699.0,3,0,"[0.0, 11.530952380952382, 18.012694029311962, 9.419117647058822, 6.051948051948052, 0.0, 10.077660885295142]","[1099, 1599, 2299, 1999, 1099, 1399, 2399]",0.178,0.164,10.914,18325.541,17.516,16400,16400,32800,32800,48.775,8.2,"[0.0, 11.530952380952382, 18.012694029311962, 9.419117647058822, 6.051948051948052, 0.0, 10.077660885295142]","[1099, 1599, 2299, 1999, 1099, 1399, 2399]",,,,,,,,,,,,,,,,
0,20.964013253708877,0.0,10.03112834133823,1921.2222222222222,2,0,4,39200,39200,19600,19600,3200,3200,19600,3200,39200,False,9,6,5f3af_00000,cdf0d5de3a16430ab9248c3b4808aa99,2022-12-17_10-14-07,1671272047,5.39473295211792,32.51607942581177,35165,1ec1cd5bf031,172.17.0.2,32.51607942581177,0,6,34.43453001976013,19600,19600,39200,39200,20.964013253708877,0.0,10.03112834133823,1921.2222222222222,2,0,"[0.0, 11.530952380952382, 18.012694029311962, 9.419117647058822, 6.051948051948052, 0.0, 10.077660885295142, 14.223768823768822, 20.964013253708877]","[1099, 1599, 2299, 1999, 1099, 1399, 2399, 1099, 4299]",0.274,0.245,10.888,18368.075,17.079,19600,19600,39200,39200,49.412499999999994,8.2,"[0.0, 11.530952380952382, 18.012694029311962, 9.419117647058822, 6.051948051948052, 0.0, 10.077660885295142, 14.223768823768822, 20.964013253708877]","[1099, 1599, 2299, 1999, 1099, 1399, 2399, 1099, 4299]",,,,,,,,,,,,,,,,
0,20.964013253708877,0.0,9.588924772192351,1826.2727272727273,2,0,4,45600,45600,22800,22800,3200,3200,22800,3200,45600,False,11,7,5f3af_00000,cdf0d5de3a16430ab9248c3b4808aa99,2022-12-17_10-14-13,1671272053,5.61689019203186,38.13296961784363,35165,1ec1cd5bf031,172.17.0.2,38.13296961784363,0,7,34.43453001976013,22800,22800,45600,45600,20.964013253708877,0.0,9.588924772192351,1826.2727272727273,2,0,"[0.0, 11.530952380952382, 18.012694029311962, 9.419117647058822, 6.051948051948052, 0.0, 10.077660885295142, 14.223768823768822, 20.964013253708877, 9.959627329192546, 5.238390092879257]","[1099, 1599, 2299, 1999, 1099, 1399, 2399, 1099, 4299, 1599, 1199]",0.177,0.162,10.022,19957.006,14.503,22800,22800,45600,45600,49.025,8.2,"[0.0, 11.530952380952382, 18.012694029311962, 9.419117647058822, 6.051948051948052, 0.0, 10.077660885295142, 14.223768823768822, 20.964013253708877, 9.959627329192546, 5.238390092879257]","[1099, 1599, 2299, 1999, 1099, 1399, 2399, 1099, 4299, 1599, 1199]",,,,,,,,,,,,,,,,
0,20.964013253708877,0.0,9.292031847627936,1790.6666666666667,1,0,4,52200,52200,26100,26100,3300,3300,26100,3300,52200,False,12,8,5f3af_00000,cdf0d5de3a16430ab9248c3b4808aa99,2022-12-17_10-14-19,1671272059,5.550318241119385,43.68328785896301,35165,1ec1cd5bf031,172.17.0.2,43.68328785896301,0,8,34.43453001976013,26100,26100,52200,52200,20.964013253708877,0.0,9.292031847627936,1790.6666666666667,1,0,"[0.0, 11.530952380952382, 18.012694029311962, 9.419117647058822, 6.051948051948052, 0.0, 10.077660885295142, 14.223768823768822, 20.964013253708877, 9.959627329192546, 5.238390092879257, 6.026209677419355]","[1099, 1599, 2299, 1999, 1099, 1399, 2399, 1099, 4299, 1599, 1199, 1399]",0.169,0.154,10.017,19967.029,14.852,26100,26100,52200,52200,49.0375,8.275,"[0.0, 11.530952380952382, 18.012694029311962, 9.419117647058822, 6.051948051948052, 0.0, 10.077660885295142, 14.223768823768822, 20.964013253708877, 9.959627329192546, 5.238390092879257, 6.026209677419355]","[1099, 1599, 2299, 1999, 1099, 1399, 2399, 1099, 4299, 1599, 1199, 1399]",,,,,,,,,,,,,,,,
0,20.964013253708877,0.0,9.54870045224337,1839.0,3,0,4,58600,58600,29300,29300,3200,3200,29300,3200,58600,False,15,9,5f3af_00000,cdf0d5de3a16430ab9248c3b4808aa99,2022-12-17_10-14-24,1671272064,5.580870866775513,49.264158725738525,35165,1ec1cd5bf031,172.17.0.2,49.264158725738525,0,9,34.43453001976013,29300,29300,58600,58600,20.964013253708877,0.0,9.54870045224337,1839.0,3,0,"[0.0, 11.530952380952382, 18.012694029311962, 9.419117647058822, 6.051948051948052, 0.0, 10.077660885295142, 14.223768823768822, 20.964013253708877, 9.959627329192546, 5.238390092879257, 6.026209677419355, 0.0, 14.217187198766148, 17.508937413349177]","[1099, 1599, 2299, 1999, 1099, 1399, 2399, 1099, 4299, 1599, 1199, 1399, 1199, 2899, 1999]",0.181,0.166,10.411,19210.846,15.958,29300,29300,58600,58600,48.55,8.3,"[0.0, 11.530952380952382, 18.012694029311962, 9.419117647058822, 6.051948051948052, 0.0, 10.077660885295142, 14.223768823768822, 20.964013253708877, 9.959627329192546, 5.238390092879257, 6.026209677419355, 0.0, 14.217187198766148, 17.508937413349177]","[1099, 1599, 2299, 1999, 1099, 1399, 2399, 1099, 4299, 1599, 1199, 1399, 1199, 2899, 1999]",,,,,,,,,,,,,,,,
0,20.964013253708877,0.0,9.324499841680023,1792.75,1,0,4,65200,65200,32600,32600,3300,3300,32600,3300,65200,False,16,10,5f3af_00000,cdf0d5de3a16430ab9248c3b4808aa99,2022-12-17_10-14-30,1671272070,5.539407014846802,54.80356574058533,35165,1ec1cd5bf031,172.17.0.2,54.80356574058533,0,10,34.43453001976013,32600,32600,65200,65200,20.964013253708877,0.0,9.324499841680023,1792.75,1,0,"[0.0, 11.530952380952382, 18.012694029311962, 9.419117647058822, 6.051948051948052, 0.0, 10.077660885295142, 14.223768823768822, 20.964013253708877, 9.959627329192546, 5.238390092879257, 6.026209677419355, 0.0, 14.217187198766148, 17.508937413349177, 5.961490683229813]","[1099, 1599, 2299, 1999, 1099, 1399, 2399, 1099, 4299, 1599, 1199, 1399, 1199, 2899, 1999, 1099]",0.196,0.177,10.163,19679.095,14.722,32600,32600,65200,65200,48.6625,8.3,"[0.0, 11.530952380952382, 18.012694029311962, 9.419117647058822, 6.051948051948052, 0.0, 10.077660885295142, 14.223768823768822, 20.964013253708877, 9.959627329192546, 5.238390092879257, 6.026209677419355, 0.0, 14.217187198766148, 17.508937413349177, 5.961490683229813]","[1099, 1599, 2299, 1999, 1099, 1399, 2399, 1099, 4299, 1599, 1199, 1399, 1199, 2899, 1999, 1099]",,,,,,,,,,,,,,,,
